dateiname	tbeg_klass_art	erlaeuterung
cs19980114_2bvc002596	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20001009_2bvc000799	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20001024_2bvc000100	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20001024_2bvc001899	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20010122_2bvc000699	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20010122_2bvc001599	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20090209_2bvc001104	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20090218_2bvc000603	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20090218_2bvc000904	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20090226_2bvc000104	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20090226_2bvc000604	SVM-WE-Satz	automatisch annotiert in ebene-Tags
cs20110603_2bvc000711	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20111018_2bvc000511	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20111212_2bvc001611	Regeln-Absatz	automatisch annotiert in ebene-Tags
cs20120119_2bvc001211	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20120131_2bvc001111	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20120228_2bvc001011	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc000113	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc000513	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc000613	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc000713	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc000813	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc000913	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc001013	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc001113	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20130723_2bvc001213	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20160421_2bvc003614	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20160929_2bvc001615	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20160929_2bvc005214	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170725_2bvc000117	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170725_2bvc000317	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170725_2bvc000417	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170725_2bvc000517	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170725_2bvc000617	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170725_2bvc000717	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20170815_2bvc006714	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20180822_2bvc000118	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20190401_2bvc000418	Regeln-Absatz	automatisch annotiert in ebene-Tags
cs20190426_2bvc002619	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20190520_2bvc000318	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20190624_2bvc003718	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20190718_2bvc000519	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20191127_2bvc002018	Regeln-Satz	automatisch annotiert in ebene-Tags
cs20200122_2bvc005219	Regeln-Satz	automatisch annotiert in ebene-Tags
