dateiname	speicherzeit
rk20041222_2bvr049703	2017-08-31 11:12:26GMT
cs20160622_2bvc000515	2017-08-31 12:04:12GMT
rk20091109_1bvr214609	2017-08-31 10:00:50GMT
rk20070719_1bvr195606	2017-08-31 10:36:08GMT
rk20100301_1bvr238009	2017-08-31 09:56:48GMT
rk20040526_1bvr017204	2017-08-31 11:19:44GMT
cs20090218_2bvc000904	2017-08-31 10:14:04GMT
rk20121112_1bvr000412	2017-08-31 12:53:26GMT
rk20160629_1bvr273215	2017-08-31 12:03:30GMT
rk20170508_2bvr015717	2017-08-31 11:47:46GMT
rk20020329_2bvr029200	2017-08-31 08:18:02GMT
rk20160722_1bvr253414	2017-08-31 12:01:18GMT
lk20130417_2bvl002008	2017-08-31 12:47:56GMT
rk20100224_1bvr002709	2017-08-31 09:57:02GMT
es20141021_2bve000511	2017-08-31 12:31:20GMT
rk20141208_2bvr045011	2017-08-31 12:30:10GMT
rk20160310_1bvr266215	2017-08-31 12:10:16GMT
fs19980128_2bvf000392	2017-08-31 09:33:48GMT
rs20120504_1bvr036712	2017-08-31 13:00:12GMT
rk20090227_1bvr350508	2017-08-31 10:13:00GMT
rk20080630_1bvr166507	2017-08-31 10:23:52GMT
rk19980424_1bvr058788	2017-08-31 09:28:44GMT
rk20030704_2bvr039702	2017-08-31 11:34:16GMT
rk20080225_2bvr080507	2017-08-31 10:29:12GMT
lk20000302_1bvl000499	2017-08-31 08:59:16GMT
rk20000203_1bvr155399	2017-08-31 09:01:44GMT
rk20120717_1bvr044011	2017-08-31 12:56:22GMT
rk20020924_2bvr074202	2017-08-31 08:10:48GMT
rk20080306_2bvr038707	2017-08-31 10:27:40GMT
rk20060328_1bvr083805	2017-08-31 10:55:50GMT
rk20160217_2bvr085415	2017-08-31 12:11:42GMT
rk20130918_1bvr092412	2017-08-31 12:43:12GMT
rk20120209_1bvr028912	2017-08-31 13:03:32GMT
rk20120829_1bvr176612	2017-08-31 12:55:32GMT
rk20000703_1bvr094500	2017-08-31 08:53:38GMT
rs20151110_1bvr205612	2017-08-31 12:15:18GMT
rk20170130_2bvr022516	2017-08-31 11:52:16GMT
rk20160202_1bvr307815	2017-08-31 12:12:26GMT
rk20121213_1bvr176612	2017-08-31 12:51:26GMT
rk20030218_2bvr036901	2017-08-31 11:40:36GMT
cs20170921_2bvc002914	2018-03-07 13:58:48GMT
rk20030213_2bvr006103	2017-08-31 11:40:42GMT
rk20120927_1bvr180912	2017-08-31 12:54:46GMT
rk20101108_1bvr159510	2017-08-31 13:22:48GMT
rk20150622_1bvr132315	2017-08-31 12:23:52GMT
rk20100914_1bvr184208	2017-08-31 13:25:28GMT
rk20070613_1bvr085107	2017-08-31 10:38:02GMT
rk20110622_2bvr121910	2017-08-31 13:13:14GMT
rk20090629_2bvr149805	2017-08-31 10:07:22GMT
rk20141113_1bvr286114	2017-08-31 12:30:50GMT
rk20061024_2bvr190803	2017-08-31 10:46:00GMT
rk20140815_2bvr096914	2017-08-31 12:33:32GMT
rk20090408_2bvr094508	2017-08-31 10:11:04GMT
rk19981005_1bvr147698	2017-08-31 09:22:58GMT
rk19980918_2bvr062690	2017-08-31 09:23:28GMT
fs20120130_1bvf000109	2017-08-31 13:04:14GMT
rk20120530_1bvr229211	2017-08-31 12:58:24GMT
rk20000126_2bvr108292	2017-08-31 09:02:00GMT
rk20050721_1bvr149099	2017-08-31 11:04:44GMT
rk20080506_2bvr183006	2017-08-31 10:25:24GMT
rk20030930_2bvr039903	2017-08-31 11:32:08GMT
rk20000809_1bvr051400	2017-08-31 08:52:12GMT
rs20010404_2bvr071300	2017-08-31 08:37:56GMT
qk20161227_1bvq004916	2017-08-31 11:53:44GMT
rk20170313_1bvr009314	2017-08-31 11:50:16GMT
rk20070619_1bvr129005	2017-08-31 10:37:36GMT
rk20040316_2bvr017201	2017-08-31 11:23:26GMT
rk20040427_2bvr131803	2017-08-31 11:21:04GMT
rk20000302_2bvr091096	2017-08-31 08:59:22GMT
rk19990711_2bvr131393	2017-08-31 09:10:52GMT
rk20010718_2bvr098200	2017-08-31 08:33:28GMT
rs20120912_2bvr139012	2017-08-31 12:55:20GMT
rk19990514_2bvr068499	2017-08-31 09:12:56GMT
rk20101109_2bvr210109	2017-08-31 13:22:38GMT
rk20110228_1bvr044011	2017-08-31 13:18:52GMT
rk20140515_1bvr268111	2017-08-31 12:36:10GMT
rk20040515_1bvr181601	2017-08-31 11:20:12GMT
rk20010821_2bvr088401	2017-08-31 08:31:14GMT
rk20170908_1bvr098417	2018-03-07 13:57:00GMT
rs20000301_1bvr229696	2017-08-31 08:59:38GMT
rk20061204_1bvr120004	2017-08-31 10:45:08GMT
rk20051026_1bvr192104	2017-08-31 11:01:42GMT
